,Decomposition + HCD35_Positive,Decomposition + HCD35_Negative
XGBoost + Ramdom Forest,81.55,75.53
XGBoost + LightGBM,84.23,75.53
XGBoost + Keras,78.57,75.53
Random Forest + LightGBM,84.52,72.34
Random Forest + Keras,75.6,69.15
LightGBM+Keras,80.36,72.34
XGBoost + Random Forest + LightGBM,84.82,77.66
XGBoost + Random Forest + Keras,79.17,74.47
XGBoost + LightGBM + Keras,83.33,76.6
Random Forest + LightGBM + Keras,81.55,72.34
XGBoost + Random Forest + LightGBM + Keras,82.74,75.53
Xgboost,80.95,75.53
Random Forest,73.51,65.96
LightGBM,83.04,75.53
Keras,68.15,62.77
