,Feature_Selection_Positive,Feature Selection + Decomposition_Positive,Feature_Selection_Negative,Feature Selection + Decomposition_Negative
LightGBM,84.82,83.04,76.6,74.47
Random Forest + LightGBM,83.63,82.74,74.47,76.6
XGBoost + LightGBM,83.63,84.52,74.47,74.47
XGBoost + LightGBM + Keras,82.44,84.52,74.47,76.6
Random Forest + LightGBM + Keras,82.44,83.04,74.47,75.53
XGBoost + Random Forest + LightGBM,82.44,83.33,73.4,75.53
XGBoost + Random Forest + LightGBM + Keras,82.14,83.63,74.47,77.66
LightGBM+Keras,80.36,81.85,73.4,71.28
XGBoost,80.06,82.74,75.53,74.47
XGBoost + Random Forest + Keras,78.27,81.85,73.4,75.53
XGBoost + Ramdom Forest,77.38,82.44,63.83,76.6
Random Forest,77.38,76.49,63.83,70.21
XGBoost + Keras,73.21,78.57,72.34,70.21
Random Forest + Keras,73.21,76.49,72.34,69.15
Keras,59.82,72.02,71.28,65.96
