,Feature_Selection_Negative,Feature Selection + Decomposition_Negative
XGBoost,72.34,78.72
XGBoost + Ramdom Forest,74.47,78.72
LightGBM,74.47,77.66
XGBoost + Random Forest + LightGBM + Keras,75.53,77.66
XGBoost + LightGBM,74.47,76.6
Random Forest + LightGBM,74.47,75.53
XGBoost + Random Forest + LightGBM,75.53,75.53
XGBoost + LightGBM + Keras,76.6,75.53
Random Forest,74.47,74.47
XGBoost + Random Forest + Keras,73.4,74.47
Random Forest + LightGBM + Keras,76.6,73.4
LightGBM+Keras,74.47,68.09
XGBoost + Keras,71.28,67.02
Random Forest + Keras,71.28,63.83
Keras,65.96,62.77
